City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
246,Tallahassee,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
248,Meulaboh,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
250,Talara,PE,78.89,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
251,Geilo,NO,39.2,light rain,61.5996,5.0328,Kinn Hotell Florø
253,Airai,TL,63.03,overcast clouds,-8.9266,125.4092,Juvinal Martin
254,Cabo San Lucas,CL,63.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
255,Gasa,PS,68.0,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
256,Grand-Santi,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
258,San Luis,AR,57.2,few clouds,-54.8,-68.3,Albatros Hotel
260,Codrington,AU,57.13,heavy intensity rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
262,Kruisfontein,ZA,80.01,clear sky,-33.5906,26.891,The Halyards Hotel
263,Rio Gallegos,AR,57.2,few clouds,-54.8,-68.3,Albatros Hotel
264,Nome,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
268,Bereda,SO,80.55,clear sky,4.1213,43.8894,Banjanay Hotel
270,Lata,SB,83.5,overcast clouds,-8.103,156.8419,Imagination Island
271,La Sarre,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
272,Morales,CO,85.75,overcast clouds,11.7139,-72.266,Hotel Uribia
273,Sri Aman,MY,75.2,moderate rain,4.75,115.0,Purnama Hotel
276,Kavaratti,IN,65.53,broken clouds,27.9167,96.1667,Circuit House
283,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
285,Sabang,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
286,Tautira,PF,77.68,overcast clouds,-23.1203,-134.9692,Pension Maro'i
290,Necochea,AR,57.2,few clouds,-54.8,-68.3,Albatros Hotel
291,Irimbo,CL,63.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
293,Tahoua,NE,81.75,clear sky,18.6853,12.9164,Expeditions Ténére voyages
294,Longlac,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
295,Ayios Matthaios,IT,39.2,clear sky,45.653,8.6336,Albergo Fontana
296,Banda Aceh,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
297,Iqaluit,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
298,Esqueda,CL,63.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
301,Bang Racham,TH,78.01,moderate rain,14.892000000000001,100.3173,อมรรัตน์ สุวิชัย
302,Manggar,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
303,Soe,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
305,Port Arthur,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
306,Geraldton,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
309,Arlit,NE,81.75,clear sky,18.6853,12.9164,Expeditions Ténére voyages
311,Hue,VN,57.2,mist,16.4667,107.6,Saigon Morin Hotel
312,Sistranda,NO,39.2,light rain,61.5996,5.0328,Kinn Hotell Florø
313,Rafaela,AR,57.2,few clouds,-54.8,-68.3,Albatros Hotel
314,Mogadishu,SO,80.55,clear sky,4.1213,43.8894,Banjanay Hotel
315,Viesca,CL,63.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
316,Port Moresby,PG,82.18,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
318,Ginda,IN,44.35,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
320,Narasannapeta,IN,65.53,broken clouds,27.9167,96.1667,Circuit House
322,La Carolina,ES,43.0,overcast clouds,38.2756,-3.6153,NH La Perdiz
324,Santa Cruz,BO,87.8,broken clouds,-17.8,-63.1667,Hotel Cortez
325,Jacqueville,CI,86.0,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
326,Poopo,SV,80.6,clear sky,13.4833,-88.1833,Excalibur
327,Sembabule,UG,71.94,overcast clouds,-0.0772,31.4567,Rainbow Motel ( Sembabule )
328,Ribeira Grande,PT,55.99,scattered clouds,39.05,-27.9833,Casa Das Faias
330,Fukue,JP,49.3,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
331,Sao Filipe,PT,57.0,light rain,32.6667,-17.1,Hotel do Campo
334,Russell,NZ,51.01,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
336,Sulphur,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
337,Mondlo,ZA,80.01,clear sky,-33.5906,26.891,The Halyards Hotel
338,Hualmay,PE,78.89,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
339,Thompson,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
340,Isabela,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
341,Tirumullaivasal,IN,65.53,broken clouds,27.9167,96.1667,Circuit House
342,Mahadday Weyne,SO,80.55,clear sky,4.1213,43.8894,Banjanay Hotel
343,Mahibadhoo,MV,81.57,overcast clouds,-0.6,73.0833,Scoop Guest House
344,Nha Trang,VN,57.2,mist,16.4667,107.6,Saigon Morin Hotel
346,Adre,SA,59.0,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
347,Te Anau,NZ,51.01,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
348,Mutsu,JP,49.3,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
349,Arkhangelos,IT,39.2,clear sky,45.653,8.6336,Albergo Fontana
350,Moses Lake,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
351,Kilinochchi,LK,76.24,heavy intensity rain,8.5711,81.2335,Welcombe Hotel
