City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Puerto Ayora,EC,2021-01-09 16:34:16,-0.7393,-90.3518,80.6,69,0,16.11
97,Vila Velha,BR,2021-01-09 16:31:11,-20.3297,-40.2925,89.01,66,20,17.27
98,Saldanha,ZA,2021-01-09 16:34:16,-33.0117,17.9442,73.4,53,0,20.71
99,Lompoc,US,2021-01-09 16:32:14,34.6391,-120.4579,54.0,93,1,3.44
100,Avarua,CK,2021-01-09 16:34:16,-21.2078,-159.775,75.2,88,90,4.61
101,Coihaique,CL,2021-01-09 16:31:01,-45.5752,-72.0662,55.4,62,90,9.22
102,Dolores,AR,2021-01-09 16:34:16,-36.3132,-57.6792,85.66,26,20,5.73
103,Nikolskoye,RU,2021-01-09 16:34:16,59.7035,30.7861,10.99,85,84,6.71
104,Adrar,MR,2021-01-09 16:34:16,20.5022,-10.0711,75.69,35,60,11.5
105,Dikson,RU,2021-01-09 16:34:16,73.5069,80.5464,-11.06,82,33,1.79
106,Menongue,AO,2021-01-09 16:34:17,-14.6585,17.691,67.69,90,95,7.02
107,Lampazos De Naranjo,MX,2021-01-09 16:34:17,27.0167,-100.5167,50.23,69,100,7.96
108,Rocha,UY,2021-01-09 16:30:05,-34.4833,-54.3333,78.93,38,83,12.06
109,Bonavista,CA,2021-01-09 16:34:17,48.6499,-53.1147,37.0,100,100,10.36
110,Georgetown,MY,2021-01-09 16:33:40,5.4112,100.3354,80.6,78,20,3.44
111,Ketchikan,US,2021-01-09 16:34:17,55.3422,-131.6461,44.6,65,90,14.97
112,Athabasca,CA,2021-01-09 16:30:09,54.7169,-113.2854,5.0,85,100,3.44
113,Bethel,US,2021-01-09 16:34:17,41.3712,-73.414,28.99,54,1,11.5
114,Bredasdorp,ZA,2021-01-09 16:34:17,-34.5322,20.0403,75.2,50,0,21.85
115,Touros,BR,2021-01-09 16:34:17,-5.1989,-35.4608,86.0,58,40,19.57
116,Cape Town,ZA,2021-01-09 16:33:00,-33.9258,18.4232,75.2,43,0,13.8
117,Port Blair,IN,2021-01-09 16:34:17,11.6667,92.75,80.42,80,31,12.21
118,Praia,CV,2021-01-09 16:34:17,14.9215,-23.5087,78.8,50,20,25.32
119,Port Elizabeth,ZA,2021-01-09 16:34:17,-33.918,25.5701,77.0,83,75,18.41
120,Balkhash,KZ,2021-01-09 16:34:17,46.844,74.9804,-5.13,90,26,9.57
121,Alta Floresta,BR,2021-01-09 16:34:17,-9.8756,-56.0861,80.6,89,75,2.3
122,Holme,DK,2021-01-09 16:34:18,56.1138,10.1725,35.6,87,90,1.14
123,Cidreira,BR,2021-01-09 16:34:18,-30.1811,-50.2056,83.16,53,0,10.56
124,Aswan,EG,2021-01-09 16:34:18,24.0934,32.907,71.26,21,0,11.14
125,Aksha,RU,2021-01-09 16:34:18,50.2814,113.2867,2.89,85,0,8.03
