City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Tuktoyaktuk,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
123,Burpengary,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
124,Ternate,ID,-0.0333,109.3333,80.6,89,75,4.61,light rain
125,Faanui,PF,-23.1203,-134.9692,77.68,77,100,12.39,overcast clouds
126,Ebeltoft,DK,56.1944,10.6821,35.6,87,90,2.3,overcast clouds
127,Kuzino,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
128,Vila Velha,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
129,Chimbote,PE,-5.5569,-80.8222,78.89,57,25,7.31,scattered clouds
130,Sao Sebastiao,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
131,Ostrovnoy,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
132,Saint-Philippe,RE,-21.3585,55.7679,78.8,83,20,23.02,light rain
133,Central Point,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
134,Lavrentiya,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
135,Kirensk,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
136,Butaritari,KI,3.0707,172.7902,81.43,79,99,20.78,overcast clouds
137,Kirakira,SB,-8.103,156.8419,83.5,73,96,8.03,overcast clouds
138,Dunedin,NZ,-46.6,168.3333,51.01,89,97,4.0,overcast clouds
139,Dauphin,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
140,Hamilton,US,39.1834,-84.5333,30.99,69,90,5.75,overcast clouds
141,Mount Gambier,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
142,High Rock,BS,26.6208,-78.2833,62.6,59,75,18.41,broken clouds
143,Faya,SA,18.3851,42.4509,59.0,77,40,9.22,scattered clouds
144,Srostki,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
145,Saskylakh,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
146,Rosarito,CL,-35.3333,-72.4167,63.88,51,0,16.69,clear sky
147,Norman Wells,CA,47.6666,-52.7314,37.0,87,75,26.46,broken clouds
148,Castro,CL,-45.5752,-72.0662,59.0,51,75,6.91,moderate rain
149,Breaza,RO,45.1833,25.6667,33.01,90,99,1.68,overcast clouds
150,Ewo,CG,-0.8725,14.8206,88.0,48,34,4.38,scattered clouds
151,Floro,NO,61.5996,5.0328,39.2,81,75,41.43,light rain
152,Dalaba,GN,10.7,-12.25,89.55,14,3,3.85,clear sky
153,Byron Bay,US,42.6001,-73.9662,26.01,61,100,3.0,overcast clouds
154,Longyearbyen,SJ,78.2186,15.6401,21.2,73,75,11.5,light snow
155,La Grande,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
156,Kalininsk,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
157,Ada,US,22.0752,-159.319,64.4,94,1,8.05,clear sky
158,Jizan,SA,26.326,43.975,60.8,94,40,5.75,scattered clouds
159,Vaitape,PF,-23.1203,-134.9692,77.68,77,100,12.39,overcast clouds
160,Asau,RO,46.4333,26.4,34.0,93,40,3.44,light snow
161,San Miguel,SV,13.4833,-88.1833,80.6,88,0,3.44,clear sky
162,Heihe,CN,30.634,117.8517,30.45,78,100,2.24,overcast clouds
163,Hasaki,JP,28.3667,129.4833,49.3,73,72,17.72,broken clouds
164,Mehamn,NO,61.5996,5.0328,39.2,81,75,41.43,light rain
165,Aitape,PG,-2.5744,150.7967,82.18,78,99,10.89,overcast clouds
166,Talnakh,RU,59.7035,30.7861,10.99,85,0,4.47,clear sky
167,Lokoja,NG,7.8024,6.743,100.63,18,0,6.62,clear sky
168,Lodja,CD,-3.4833,23.4333,75.34,79,76,1.07,broken clouds
169,Shimoda,JP,28.3667,129.4833,49.3,73,72,17.72,broken clouds
170,Namibe,AO,-15.1961,12.1522,72.12,72,100,8.48,overcast clouds
171,Uribia,CO,11.7139,-72.266,85.75,60,100,20.65,overcast clouds
172,Xuddur,SO,4.1213,43.8894,80.55,28,0,11.07,clear sky
173,Mocajuba,BR,-9.1667,-60.6333,96.62,43,41,1.03,scattered clouds
